codigo_super_cias,codigo_sri,nombre_cuenta,nombre_sri,depreciacion
2011002,547,OTROS ANTICIPOS RECIBIDOS,Otros,
20111,549,PASIVOS DIRECTAMENTE ASOCIADOS CON LOS ACTIVOS NO CORRIENTES Y OPERACIONES DISCONTINUADAS,Otros,
20112,,PORCION CORRIENTE DE PROVISIONES POR BENEFICIOS A EMPLEADOS,,
2011201,535,JUBILACION PATRONAL,Jubilación Patronal,
2011202,536,OTROS BENEFICIOS PARA LOS EMPLEADOS,Otros Pasivos Corrientes Por Beneficios a Empleados,
20113,,OTROS PASIVOS CORRIENTES,,
2011301,549,COMISIONES POR PAGAR,Otros,
2011302,549,POR OPERACIONES BURSÁTILES,Otros,
2011303,549,POR CUSTODIA,Otros,
2011304,549,POR ADMINISTRACIÓN,Otros,
2011305,549,OTRAS COMISIONES,Otros,
2011306,549,SANCIONES Y MULTAS,Otros,
2011307,549,INDEMNIZACIONES,Otros,
2011308,549,OBLIGACIONES JUDICIALES,Otros,
